carrier,name,Date,Origin,name,Destination,name,"Arrival Delay"
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",IAH,"George Bush Intercontinental",11
UA,"United Air Lines Inc.",2013-01-01,LGA,"La Guardia",IAH,"George Bush Intercontinental",20
AA,"American Airlines Inc.",2013-01-01,JFK,"John F Kennedy Intl",MIA,"Miami Intl",33
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",BQN,NULL,-18
DL,"Delta Air Lines Inc.",2013-01-01,LGA,"La Guardia",ATL,"Hartsfield Jackson Atlanta Intl",-25
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",ORD,"Chicago Ohare Intl",12
B6,"JetBlue Airways",2013-01-01,EWR,"Newark Liberty Intl",FLL,"Fort Lauderdale Hollywood Intl",19
EV,"ExpressJet Airlines Inc.",2013-01-01,LGA,"La Guardia",IAD,"Washington Dulles Intl",-14
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",MCO,"Orlando Intl",-8
AA,"American Airlines Inc.",2013-01-01,LGA,"La Guardia",ORD,"Chicago Ohare Intl",8
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",PBI,"Palm Beach Intl",-2
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",TPA,"Tampa Intl",-3
UA,"United Air Lines Inc.",2013-01-01,JFK,"John F Kennedy Intl",LAX,"Los Angeles Intl",7
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",SFO,"San Francisco Intl",-14
AA,"American Airlines Inc.",2013-01-01,LGA,"La Guardia",DFW,"Dallas Fort Worth Intl",31
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",BOS,"General Edward Lawrence Logan Intl",-4
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",LAS,"Mc Carran Intl",-8
B6,"JetBlue Airways",2013-01-01,LGA,"La Guardia",FLL,"Fort Lauderdale Hollywood Intl",-7
MQ,"Envoy Air",2013-01-01,LGA,"La Guardia",ATL,"Hartsfield Jackson Atlanta Intl",12
B6,"JetBlue Airways",2013-01-01,EWR,"Newark Liberty Intl",PBI,"Palm Beach Intl",-6
DL,"Delta Air Lines Inc.",2013-01-01,LGA,"La Guardia",MSP,"Minneapolis St Paul Intl",-8
MQ,"Envoy Air",2013-01-01,LGA,"La Guardia",DTW,"Detroit Metro Wayne Co",16
AA,"American Airlines Inc.",2013-01-01,EWR,"Newark Liberty Intl",MIA,"Miami Intl",-12
DL,"Delta Air Lines Inc.",2013-01-01,JFK,"John F Kennedy Intl",ATL,"Hartsfield Jackson Atlanta Intl",-8
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",MIA,"Miami Intl",-17
MQ,"Envoy Air",2013-01-01,EWR,"Newark Liberty Intl",ORD,"Chicago Ohare Intl",32
UA,"United Air Lines Inc.",2013-01-01,JFK,"John F Kennedy Intl",SFO,"San Francisco Intl",14
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",RSW,"Southwest Florida Intl",4
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",SJU,NULL,-21
DL,"Delta Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",ATL,"Hartsfield Jackson Atlanta Intl",-9
US,"US Airways Inc.",2013-01-01,EWR,"Newark Liberty Intl",PHX,"Phoenix Sky Harbor Intl",3
AA,"American Airlines Inc.",2013-01-01,LGA,"La Guardia",MIA,"Miami Intl",5
UA,"United Air Lines Inc.",2013-01-01,LGA,"La Guardia",IAH,"George Bush Intercontinental",1
EV,"ExpressJet Airlines Inc.",2013-01-01,EWR,"Newark Liberty Intl",MSP,"Minneapolis St Paul Intl",29
MQ,"Envoy Air",2013-01-01,LGA,"La Guardia",MSP,"Minneapolis St Paul Intl",10
US,"US Airways Inc.",2013-01-01,JFK,"John F Kennedy Intl",PHX,"Phoenix Sky Harbor Intl",0
AA,"American Airlines Inc.",2013-01-01,JFK,"John F Kennedy Intl",SJU,NULL,-3
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",LAX,"Los Angeles Intl",29
AA,"American Airlines Inc.",2013-01-01,LGA,"La Guardia",ORD,"Chicago Ohare Intl",14
WN,"Southwest Airlines Co.",2013-01-01,LGA,"La Guardia",BWI,"Baltimore Washington Intl",-19
US,"US Airways Inc.",2013-01-01,EWR,"Newark Liberty Intl",CLT,"Charlotte Douglas Intl",-9
EV,"ExpressJet Airlines Inc.",2013-01-01,EWR,"Newark Liberty Intl",IAD,"Washington Dulles Intl",12
AA,"American Airlines Inc.",2013-01-01,LGA,"La Guardia",DFW,"Dallas Fort Worth Intl",48
B6,"JetBlue Airways",2013-01-01,LGA,"La Guardia",MCO,"Orlando Intl",-5
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",BOS,"General Edward Lawrence Logan Intl",-10
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",PBI,"Palm Beach Intl",-18
US,"US Airways Inc.",2013-01-01,EWR,"Newark Liberty Intl",CLT,"Charlotte Douglas Intl",-11
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",FLL,"Fort Lauderdale Hollywood Intl",-9
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",BUF,"Buffalo Niagara Intl",5
UA,"United Air Lines Inc.",2013-01-01,LGA,"La Guardia",DEN,"Denver Intl",-6
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",SNA,"John Wayne Arpt Orange Co",-7
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",LAS,"Mc Carran Intl",-6
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",MSY,"Louis Armstrong New Orleans Intl",11
DL,"Delta Air Lines Inc.",2013-01-01,LGA,"La Guardia",PBI,"Palm Beach Intl",-33
DL,"Delta Air Lines Inc.",2013-01-01,JFK,"John F Kennedy Intl",SLC,"Salt Lake City Intl",-9
DL,"Delta Air Lines Inc.",2013-01-01,JFK,"John F Kennedy Intl",SFO,"San Francisco Intl",-8
DL,"Delta Air Lines Inc.",2013-01-01,LGA,"La Guardia",MIA,"Miami Intl",-18
AA,"American Airlines Inc.",2013-01-01,LGA,"La Guardia",ORD,"Chicago Ohare Intl",4
AA,"American Airlines Inc.",2013-01-01,JFK,"John F Kennedy Intl",MCO,"Orlando Intl",-10
MQ,"Envoy Air",2013-01-01,LGA,"La Guardia",XNA,"NW Arkansas Regional",27
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",TPA,"Tampa Intl",-23
DL,"Delta Air Lines Inc.",2013-01-01,LGA,"La Guardia",FLL,"Fort Lauderdale Hollywood Intl",-14
DL,"Delta Air Lines Inc.",2013-01-01,LGA,"La Guardia",ATL,"Hartsfield Jackson Atlanta Intl",5
VX,"Virgin America",2013-01-01,JFK,"John F Kennedy Intl",LAX,"Los Angeles Intl",2
AA,"American Airlines Inc.",2013-01-01,LGA,"La Guardia",MIA,"Miami Intl",-7
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",FLL,"Fort Lauderdale Hollywood Intl",1
DL,"Delta Air Lines Inc.",2013-01-01,LGA,"La Guardia",DTW,"Detroit Metro Wayne Co",-6
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",RSW,"Southwest Florida Intl",-9
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",SJU,NULL,-31
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",LAX,"Los Angeles Intl",44
UA,"United Air Lines Inc.",2013-01-01,LGA,"La Guardia",ORD,"Chicago Ohare Intl",20
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",SJU,NULL,-15
AA,"American Airlines Inc.",2013-01-01,JFK,"John F Kennedy Intl",FLL,"Fort Lauderdale Hollywood Intl",-12
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",ORD,"Chicago Ohare Intl",21
FL,"AirTran Airways Corporation",2013-01-01,LGA,"La Guardia",MKE,"General Mitchell Intl",10
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",MCO,"Orlando Intl",5
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",PBI,"Palm Beach Intl",-4
AA,"American Airlines Inc.",2013-01-01,LGA,"La Guardia",DFW,"Dallas Fort Worth Intl",31
AS,"Alaska Airlines Inc.",2013-01-01,EWR,"Newark Liberty Intl",SEA,"Seattle Tacoma Intl",-10
AA,"American Airlines Inc.",2013-01-01,EWR,"Newark Liberty Intl",DFW,"Dallas Fort Worth Intl",12
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",DEN,"Denver Intl",7
UA,"United Air Lines Inc.",2013-01-01,LGA,"La Guardia",IAH,"George Bush Intercontinental",3
VX,"Virgin America",2013-01-01,JFK,"John F Kennedy Intl",SFO,"San Francisco Intl",-26
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",ROC,"Greater Rochester Intl",-1
B6,"JetBlue Airways",2013-01-01,LGA,"La Guardia",RSW,"Southwest Florida Intl",2
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",MCO,"Orlando Intl",30
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",SYR,"Syracuse Hancock Intl",4
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",SFO,"San Francisco Intl",-26
AA,"American Airlines Inc.",2013-01-01,LGA,"La Guardia",ORD,"Chicago Ohare Intl",-12
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",IAH,"George Bush Intercontinental",26
B6,"JetBlue Airways",2013-01-01,LGA,"La Guardia",TPA,"Tampa Intl",2
AA,"American Airlines Inc.",2013-01-01,JFK,"John F Kennedy Intl",LAX,"Los Angeles Intl",7
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",SRQ,"Sarasota Bradenton Intl",-11
DL,"Delta Air Lines Inc.",2013-01-01,JFK,"John F Kennedy Intl",SEA,"Seattle Tacoma Intl",3
AA,"American Airlines Inc.",2013-01-01,JFK,"John F Kennedy Intl",SFO,"San Francisco Intl",10
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",SFO,"San Francisco Intl",-10
MQ,"Envoy Air",2013-01-01,EWR,"Newark Liberty Intl",ORD,"Chicago Ohare Intl",49
DL,"Delta Air Lines Inc.",2013-01-01,LGA,"La Guardia",MCO,"Orlando Intl",-18
UA,"United Air Lines Inc.",2013-01-01,LGA,"La Guardia",DEN,"Denver Intl",-4
US,"US Airways Inc.",2013-01-01,LGA,"La Guardia",CLT,"Charlotte Douglas Intl",-4
AA,"American Airlines Inc.",2013-01-01,LGA,"La Guardia",MIA,"Miami Intl",-14
DL,"Delta Air Lines Inc.",2013-01-01,LGA,"La Guardia",ATL,"Hartsfield Jackson Atlanta Intl",-2
WN,"Southwest Airlines Co.",2013-01-01,LGA,"La Guardia",DEN,"Denver Intl",33
B6,"JetBlue Airways",2013-01-01,EWR,"Newark Liberty Intl",MCO,"Orlando Intl",-1
DL,"Delta Air Lines Inc.",2013-01-01,JFK,"John F Kennedy Intl",MIA,"Miami Intl",-30
DL,"Delta Air Lines Inc.",2013-01-01,LGA,"La Guardia",MSP,"Minneapolis St Paul Intl",8
MQ,"Envoy Air",2013-01-01,JFK,"John F Kennedy Intl",RDU,"Raleigh Durham Intl",-6
B6,"JetBlue Airways",2013-01-01,EWR,"Newark Liberty Intl",BOS,"General Edward Lawrence Logan Intl",-19
AA,"American Airlines Inc.",2013-01-01,JFK,"John F Kennedy Intl",BOS,"General Edward Lawrence Logan Intl",-22
UA,"United Air Lines Inc.",2013-01-01,JFK,"John F Kennedy Intl",SFO,"San Francisco Intl",-12
DL,"Delta Air Lines Inc.",2013-01-01,JFK,"John F Kennedy Intl",MCO,"Orlando Intl",-13
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",CLT,"Charlotte Douglas Intl",10
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",FLL,"Fort Lauderdale Hollywood Intl",12
MQ,"Envoy Air",2013-01-01,LGA,"La Guardia",CMH,"Port Columbus Intl",-4
DL,"Delta Air Lines Inc.",2013-01-01,JFK,"John F Kennedy Intl",ATL,"Hartsfield Jackson Atlanta Intl",0
EV,"ExpressJet Airlines Inc.",2013-01-01,EWR,"Newark Liberty Intl",JAX,"Jacksonville Intl",-7
9E,"Endeavor Air Inc.",2013-01-01,JFK,"John F Kennedy Intl",MSP,"Minneapolis St Paul Intl",11
DL,"Delta Air Lines Inc.",2013-01-01,LGA,"La Guardia",PBI,"Palm Beach Intl",-28
EV,"ExpressJet Airlines Inc.",2013-01-01,EWR,"Newark Liberty Intl",CHS,"Charleston Afb Intl",-26
MQ,"Envoy Air",2013-01-01,LGA,"La Guardia",CLT,"Charlotte Douglas Intl",137
US,"US Airways Inc.",2013-01-01,EWR,"Newark Liberty Intl",CLT,"Charlotte Douglas Intl",10
EV,"ExpressJet Airlines Inc.",2013-01-01,EWR,"Newark Liberty Intl",MEM,"Memphis Intl",23
DL,"Delta Air Lines Inc.",2013-01-01,LGA,"La Guardia",DEN,"Denver Intl",7
FL,"AirTran Airways Corporation",2013-01-01,LGA,"La Guardia",ATL,"Hartsfield Jackson Atlanta Intl",17
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",PIT,"Pittsburgh Intl",17
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",SJU,NULL,-16
DL,"Delta Air Lines Inc.",2013-01-01,JFK,"John F Kennedy Intl",BOS,"General Edward Lawrence Logan Intl",-14
DL,"Delta Air Lines Inc.",2013-01-01,JFK,"John F Kennedy Intl",SJU,NULL,-40
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",SAN,"San Diego Intl",24
MQ,"Envoy Air",2013-01-01,JFK,"John F Kennedy Intl",DCA,"Ronald Reagan Washington Natl",-13
EV,"ExpressJet Airlines Inc.",2013-01-01,LGA,"La Guardia",CLE,"Cleveland Hopkins Intl",-2
US,"US Airways Inc.",2013-01-01,JFK,"John F Kennedy Intl",CLT,"Charlotte Douglas Intl",-5
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",DFW,"Dallas Fort Worth Intl",16
AA,"American Airlines Inc.",2013-01-01,LGA,"La Guardia",STL,"Lambert St Louis Intl",2
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",JAX,"Jacksonville Intl",-7
AA,"American Airlines Inc.",2013-01-01,JFK,"John F Kennedy Intl",MIA,"Miami Intl",51
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",SFO,"San Francisco Intl",-13
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",ORD,"Chicago Ohare Intl",15
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",LAX,"Los Angeles Intl",7
UA,"United Air Lines Inc.",2013-01-01,JFK,"John F Kennedy Intl",LAX,"Los Angeles Intl",-8
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",MCO,"Orlando Intl",-23
AA,"American Airlines Inc.",2013-01-01,LGA,"La Guardia",ORD,"Chicago Ohare Intl",3
MQ,"Envoy Air",2013-01-01,LGA,"La Guardia",ATL,"Hartsfield Jackson Atlanta Intl",-13
EV,"ExpressJet Airlines Inc.",2013-01-01,EWR,"Newark Liberty Intl",MYR,"Myrtle Beach Intl",-18
MQ,"Envoy Air",2013-01-01,LGA,"La Guardia",RDU,"Raleigh Durham Intl",-24
F9,"Frontier Airlines Inc.",2013-01-01,LGA,"La Guardia",DEN,"Denver Intl",32
AA,"American Airlines Inc.",2013-01-01,LGA,"La Guardia",DFW,"Dallas Fort Worth Intl",20
MQ,"Envoy Air",2013-01-01,LGA,"La Guardia",CLE,"Cleveland Hopkins Intl",-8
AA,"American Airlines Inc.",2013-01-01,JFK,"John F Kennedy Intl",SJU,NULL,-39
DL,"Delta Air Lines Inc.",2013-01-01,JFK,"John F Kennedy Intl",DTW,"Detroit Metro Wayne Co",-9
B6,"JetBlue Airways",2013-01-01,EWR,"Newark Liberty Intl",RSW,"Southwest Florida Intl",-27
MQ,"Envoy Air",2013-01-01,JFK,"John F Kennedy Intl",BWI,"Baltimore Washington Intl",851
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",JAC,"Jackson Hole Airport",19
EV,"ExpressJet Airlines Inc.",2013-01-01,EWR,"Newark Liberty Intl",RDU,"Raleigh Durham Intl",-4
DL,"Delta Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",DTW,"Detroit Metro Wayne Co",-3
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",SAN,"San Diego Intl",9
WN,"Southwest Airlines Co.",2013-01-01,EWR,"Newark Liberty Intl",MDW,"Chicago Midway Intl",26
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",TPA,"Tampa Intl",2
DL,"Delta Air Lines Inc.",2013-01-01,LGA,"La Guardia",ATL,"Hartsfield Jackson Atlanta Intl",-2
AA,"American Airlines Inc.",2013-01-01,JFK,"John F Kennedy Intl",LAX,"Los Angeles Intl",6
DL,"Delta Air Lines Inc.",2013-01-01,LGA,"La Guardia",MIA,"Miami Intl",-10
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",PBI,"Palm Beach Intl",-23
HA,"Hawaiian Airlines Inc.",2013-01-01,JFK,"John F Kennedy Intl",HNL,"Honolulu Intl",-14
DL,"Delta Air Lines Inc.",2013-01-01,LGA,"La Guardia",DTW,"Detroit Metro Wayne Co",-13
DL,"Delta Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",ATL,"Hartsfield Jackson Atlanta Intl",-9
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",SEA,"Seattle Tacoma Intl",-25
MQ,"Envoy Air",2013-01-01,LGA,"La Guardia",DTW,"Detroit Metro Wayne Co",-8
DL,"Delta Air Lines Inc.",2013-01-01,LGA,"La Guardia",MCO,"Orlando Intl",-24
VX,"Virgin America",2013-01-01,JFK,"John F Kennedy Intl",LAX,"Los Angeles Intl",-2
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",FLL,"Fort Lauderdale Hollywood Intl",8
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",ORD,"Chicago Ohare Intl",3
MQ,"Envoy Air",2013-01-01,LGA,"La Guardia",BNA,"Nashville Intl",50
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",MIA,"Miami Intl",-19
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",AUS,"Austin Bergstrom Intl",40
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",DEN,"Denver Intl",9
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",BTV,"Burlington Intl",-7
US,"US Airways Inc.",2013-01-01,LGA,"La Guardia",PHL,"Philadelphia Intl",-29
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",IAH,"George Bush Intercontinental",9
AA,"American Airlines Inc.",2013-01-01,JFK,"John F Kennedy Intl",STT,NULL,16
AA,"American Airlines Inc.",2013-01-01,JFK,"John F Kennedy Intl",MIA,"Miami Intl",21
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",MIA,"Miami Intl",-7
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",STT,NULL,-30
AA,"American Airlines Inc.",2013-01-01,EWR,"Newark Liberty Intl",DFW,"Dallas Fort Worth Intl",4
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",CLE,"Cleveland Hopkins Intl",15
AA,"American Airlines Inc.",2013-01-01,LGA,"La Guardia",DFW,"Dallas Fort Worth Intl",28
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",MCO,"Orlando Intl",-5
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",RDU,"Raleigh Durham Intl",-16
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",IAD,"Washington Dulles Intl",14
MQ,"Envoy Air",2013-01-01,LGA,"La Guardia",CLT,"Charlotte Douglas Intl",27
DL,"Delta Air Lines Inc.",2013-01-01,JFK,"John F Kennedy Intl",LAX,"Los Angeles Intl",10
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",BOS,"General Edward Lawrence Logan Intl",-4
B6,"JetBlue Airways",2013-01-01,EWR,"Newark Liberty Intl",SJU,NULL,-17
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",PBI,"Palm Beach Intl",2
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",EGE,"Eagle Co Rgnl",13
DL,"Delta Air Lines Inc.",2013-01-01,LGA,"La Guardia",RSW,"Southwest Florida Intl",-26
EV,"ExpressJet Airlines Inc.",2013-01-01,EWR,"Newark Liberty Intl",DCA,"Ronald Reagan Washington Natl",-14
WN,"Southwest Airlines Co.",2013-01-01,EWR,"Newark Liberty Intl",DEN,"Denver Intl",30
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",TPA,"Tampa Intl",9
B6,"JetBlue Airways",2013-01-01,LGA,"La Guardia",FLL,"Fort Lauderdale Hollywood Intl",-1
UA,"United Air Lines Inc.",2013-01-01,LGA,"La Guardia",ORD,"Chicago Ohare Intl",13
VX,"Virgin America",2013-01-01,JFK,"John F Kennedy Intl",LAS,"Mc Carran Intl",-6
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",BUF,"Buffalo Niagara Intl",-5
