carrier,name,Date,Origin,name,Destination,name,"Arrival Delay"
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",ORD,"Chicago Ohare Intl",14
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",SEA,"Seattle Tacoma Intl",-6
MQ,"Envoy Air",2013-01-01,EWR,"Newark Liberty Intl",ORD,"Chicago Ohare Intl",7
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",BOS,"General Edward Lawrence Logan Intl",-18
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",SEA,"Seattle Tacoma Intl",26
DL,"Delta Air Lines Inc.",2013-01-01,LGA,"La Guardia",RSW,"Southwest Florida Intl",-28
MQ,"Envoy Air",2013-01-01,LGA,"La Guardia",CLE,"Cleveland Hopkins Intl",18
UA,"United Air Lines Inc.",2013-01-01,JFK,"John F Kennedy Intl",SFO,"San Francisco Intl",-11
EV,"ExpressJet Airlines Inc.",2013-01-01,LGA,"La Guardia",IAD,"Washington Dulles Intl",-15
EV,"ExpressJet Airlines Inc.",2013-01-01,EWR,"Newark Liberty Intl",CVG,"Cincinnati Northern Kentucky Intl",65
EV,"ExpressJet Airlines Inc.",2013-01-01,EWR,"Newark Liberty Intl",ATL,"Hartsfield Jackson Atlanta Intl",15
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",BUR,"Bob Hope",83
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",PBI,"Palm Beach Intl",26
UA,"United Air Lines Inc.",2013-01-01,LGA,"La Guardia",IAH,"George Bush Intercontinental",-9
B6,"JetBlue Airways",2013-01-01,LGA,"La Guardia",PBI,"Palm Beach Intl",5
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",CLE,"Cleveland Hopkins Intl",11
DL,"Delta Air Lines Inc.",2013-01-01,LGA,"La Guardia",MSP,"Minneapolis St Paul Intl",-8
DL,"Delta Air Lines Inc.",2013-01-01,JFK,"John F Kennedy Intl",SFO,"San Francisco Intl",20
DL,"Delta Air Lines Inc.",2013-01-01,JFK,"John F Kennedy Intl",DCA,"Ronald Reagan Washington Natl",-15
DL,"Delta Air Lines Inc.",2013-01-01,LGA,"La Guardia",DTW,"Detroit Metro Wayne Co",15
AA,"American Airlines Inc.",2013-01-01,JFK,"John F Kennedy Intl",MCO,"Orlando Intl",-27
EV,"ExpressJet Airlines Inc.",2013-01-01,EWR,"Newark Liberty Intl",IAD,"Washington Dulles Intl",-2
AA,"American Airlines Inc.",2013-01-01,LGA,"La Guardia",ORD,"Chicago Ohare Intl",-10
MQ,"Envoy Air",2013-01-01,LGA,"La Guardia",ATL,"Hartsfield Jackson Atlanta Intl",19
AA,"American Airlines Inc.",2013-01-01,JFK,"John F Kennedy Intl",MIA,"Miami Intl",-22
US,"US Airways Inc.",2013-01-01,LGA,"La Guardia",CLT,"Charlotte Douglas Intl",4
MQ,"Envoy Air",2013-01-01,JFK,"John F Kennedy Intl",RDU,"Raleigh Durham Intl",11
9E,"Endeavor Air Inc.",2013-01-01,JFK,"John F Kennedy Intl",IAD,"Washington Dulles Intl",-2
9E,"Endeavor Air Inc.",2013-01-01,JFK,"John F Kennedy Intl",BUF,"Buffalo Niagara Intl",-2
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",FLL,"Fort Lauderdale Hollywood Intl",-18
MQ,"Envoy Air",2013-01-01,JFK,"John F Kennedy Intl",CLE,"Cleveland Hopkins Intl",22
US,"US Airways Inc.",2013-01-01,LGA,"La Guardia",DCA,"Ronald Reagan Washington Natl",-19
EV,"ExpressJet Airlines Inc.",2013-01-01,EWR,"Newark Liberty Intl",PWM,"Portland Intl Jetport",-21
9E,"Endeavor Air Inc.",2013-01-01,JFK,"John F Kennedy Intl",SYR,"Syracuse Hancock Intl",-1
DL,"Delta Air Lines Inc.",2013-01-01,JFK,"John F Kennedy Intl",LAX,"Los Angeles Intl",-22
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",MSY,"Louis Armstrong New Orleans Intl",1
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",PIT,"Pittsburgh Intl",10
DL,"Delta Air Lines Inc.",2013-01-01,LGA,"La Guardia",PBI,"Palm Beach Intl",-17
UA,"United Air Lines Inc.",2013-01-01,LGA,"La Guardia",ORD,"Chicago Ohare Intl",17
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",AUS,"Austin Bergstrom Intl",17
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",RSW,"Southwest Florida Intl",-17
US,"US Airways Inc.",2013-01-01,EWR,"Newark Liberty Intl",CLT,"Charlotte Douglas Intl",-4
MQ,"Envoy Air",2013-01-01,LGA,"La Guardia",CMH,"Port Columbus Intl",3
EV,"ExpressJet Airlines Inc.",2013-01-01,EWR,"Newark Liberty Intl",CMH,"Port Columbus Intl",0
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",TPA,"Tampa Intl",-1
B6,"JetBlue Airways",2013-01-01,LGA,"La Guardia",FLL,"Fort Lauderdale Hollywood Intl",3
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",FLL,"Fort Lauderdale Hollywood Intl",-4
EV,"ExpressJet Airlines Inc.",2013-01-01,EWR,"Newark Liberty Intl",RIC,"Richmond Intl",127
MQ,"Envoy Air",2013-01-01,LGA,"La Guardia",RDU,"Raleigh Durham Intl",-1
AA,"American Airlines Inc.",2013-01-01,LGA,"La Guardia",DFW,"Dallas Fort Worth Intl",18
UA,"United Air Lines Inc.",2013-01-01,LGA,"La Guardia",DEN,"Denver Intl",-18
9E,"Endeavor Air Inc.",2013-01-01,JFK,"John F Kennedy Intl",ROC,"Greater Rochester Intl",-5
MQ,"Envoy Air",2013-01-01,JFK,"John F Kennedy Intl",IND,"Indianapolis Intl",3
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",MCO,"Orlando Intl",26
B6,"JetBlue Airways",2013-01-01,EWR,"Newark Liberty Intl",TPA,"Tampa Intl",0
DL,"Delta Air Lines Inc.",2013-01-01,LGA,"La Guardia",ATL,"Hartsfield Jackson Atlanta Intl",11
DL,"Delta Air Lines Inc.",2013-01-01,LGA,"La Guardia",BUF,"Buffalo Niagara Intl",-3
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",MCO,"Orlando Intl",-18
EV,"ExpressJet Airlines Inc.",2013-01-01,EWR,"Newark Liberty Intl",CLT,"Charlotte Douglas Intl",11
MQ,"Envoy Air",2013-01-01,JFK,"John F Kennedy Intl",PIT,"Pittsburgh Intl",5
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",SRQ,"Sarasota Bradenton Intl",52
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",SFO,"San Francisco Intl",5
AA,"American Airlines Inc.",2013-01-01,EWR,"Newark Liberty Intl",DFW,"Dallas Fort Worth Intl",60
MQ,"Envoy Air",2013-01-01,JFK,"John F Kennedy Intl",DCA,"Ronald Reagan Washington Natl",-12
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",MCO,"Orlando Intl",1
DL,"Delta Air Lines Inc.",2013-01-01,LGA,"La Guardia",MCO,"Orlando Intl",7
MQ,"Envoy Air",2013-01-01,JFK,"John F Kennedy Intl",CMH,"Port Columbus Intl",6
UA,"United Air Lines Inc.",2013-01-01,JFK,"John F Kennedy Intl",LAX,"Los Angeles Intl",3
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",LAX,"Los Angeles Intl",3
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",PBI,"Palm Beach Intl",27
B6,"JetBlue Airways",2013-01-01,EWR,"Newark Liberty Intl",MCO,"Orlando Intl",125
MQ,"Envoy Air",2013-01-01,LGA,"La Guardia",XNA,"NW Arkansas Regional",NULL
WN,"Southwest Airlines Co.",2013-01-01,EWR,"Newark Liberty Intl",MDW,"Chicago Midway Intl",24
AA,"American Airlines Inc.",2013-01-01,JFK,"John F Kennedy Intl",FLL,"Fort Lauderdale Hollywood Intl",-14
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",BUF,"Buffalo Niagara Intl",27
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",RSW,"Southwest Florida Intl",-21
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",IAH,"George Bush Intercontinental",44
EV,"ExpressJet Airlines Inc.",2013-01-01,EWR,"Newark Liberty Intl",STL,"Lambert St Louis Intl",NULL
AA,"American Airlines Inc.",2013-01-01,LGA,"La Guardia",STL,"Lambert St Louis Intl",6
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",ORD,"Chicago Ohare Intl",46
US,"US Airways Inc.",2013-01-01,LGA,"La Guardia",CLT,"Charlotte Douglas Intl",-4
9E,"Endeavor Air Inc.",2013-01-01,JFK,"John F Kennedy Intl",BWI,"Baltimore Washington Intl",-5
EV,"ExpressJet Airlines Inc.",2013-01-01,EWR,"Newark Liberty Intl",DCA,"Ronald Reagan Washington Natl",34
EV,"ExpressJet Airlines Inc.",2013-01-01,EWR,"Newark Liberty Intl",GSP,"Greenville-Spartanburg International",47
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",DEN,"Denver Intl",19
EV,"ExpressJet Airlines Inc.",2013-01-01,EWR,"Newark Liberty Intl",GRR,"Gerald R Ford Intl",20
WN,"Southwest Airlines Co.",2013-01-01,LGA,"La Guardia",MKE,"General Mitchell Intl",19
DL,"Delta Air Lines Inc.",2013-01-01,JFK,"John F Kennedy Intl",MCO,"Orlando Intl",-24
AA,"American Airlines Inc.",2013-01-01,JFK,"John F Kennedy Intl",SFO,"San Francisco Intl",-6
AA,"American Airlines Inc.",2013-01-01,JFK,"John F Kennedy Intl",LAX,"Los Angeles Intl",-17
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",LAS,"Mc Carran Intl",35
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",SJU,NULL,115
DL,"Delta Air Lines Inc.",2013-01-01,JFK,"John F Kennedy Intl",SAN,"San Diego Intl",-21
DL,"Delta Air Lines Inc.",2013-01-01,JFK,"John F Kennedy Intl",SLC,"Salt Lake City Intl",8
UA,"United Air Lines Inc.",2013-01-01,LGA,"La Guardia",CLE,"Cleveland Hopkins Intl",-2
9E,"Endeavor Air Inc.",2013-01-01,JFK,"John F Kennedy Intl",ORD,"Chicago Ohare Intl",5
DL,"Delta Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",ATL,"Hartsfield Jackson Atlanta Intl",8
MQ,"Envoy Air",2013-01-01,LGA,"La Guardia",MSP,"Minneapolis St Paul Intl",91
EV,"ExpressJet Airlines Inc.",2013-01-01,EWR,"Newark Liberty Intl",MCI,"Kansas City Intl",136
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",MIA,"Miami Intl",-8
9E,"Endeavor Air Inc.",2013-01-01,JFK,"John F Kennedy Intl",IND,"Indianapolis Intl",13
EV,"ExpressJet Airlines Inc.",2013-01-01,LGA,"La Guardia",IAD,"Washington Dulles Intl",12
FL,"AirTran Airways Corporation",2013-01-01,LGA,"La Guardia",ATL,"Hartsfield Jackson Atlanta Intl",6
9E,"Endeavor Air Inc.",2013-01-01,JFK,"John F Kennedy Intl",BNA,"Nashville Intl",-8
AA,"American Airlines Inc.",2013-01-01,JFK,"John F Kennedy Intl",DFW,"Dallas Fort Worth Intl",18
9E,"Endeavor Air Inc.",2013-01-01,JFK,"John F Kennedy Intl",BOS,"General Edward Lawrence Logan Intl",-33
DL,"Delta Air Lines Inc.",2013-01-01,LGA,"La Guardia",ATL,"Hartsfield Jackson Atlanta Intl",16
MQ,"Envoy Air",2013-01-01,JFK,"John F Kennedy Intl",CVG,"Cincinnati Northern Kentucky Intl",10
EV,"ExpressJet Airlines Inc.",2013-01-01,LGA,"La Guardia",PIT,"Pittsburgh Intl",-2
DL,"Delta Air Lines Inc.",2013-01-01,JFK,"John F Kennedy Intl",RSW,"Southwest Florida Intl",-29
UA,"United Air Lines Inc.",2013-01-01,LGA,"La Guardia",ORD,"Chicago Ohare Intl",4
EV,"ExpressJet Airlines Inc.",2013-01-01,EWR,"Newark Liberty Intl",BNA,"Nashville Intl",65
EV,"ExpressJet Airlines Inc.",2013-01-01,JFK,"John F Kennedy Intl",IAD,"Washington Dulles Intl",123
B6,"JetBlue Airways",2013-01-01,EWR,"Newark Liberty Intl",FLL,"Fort Lauderdale Hollywood Intl",7
DL,"Delta Air Lines Inc.",2013-01-01,JFK,"John F Kennedy Intl",LAS,"Mc Carran Intl",-28
9E,"Endeavor Air Inc.",2013-01-01,JFK,"John F Kennedy Intl",PHL,"Philadelphia Intl",-17
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",ORD,"Chicago Ohare Intl",15
DL,"Delta Air Lines Inc.",2013-01-01,LGA,"La Guardia",MCI,"Kansas City Intl",-4
EV,"ExpressJet Airlines Inc.",2013-01-01,EWR,"Newark Liberty Intl",BUF,"Buffalo Niagara Intl",12
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",ORD,"Chicago Ohare Intl",12
WN,"Southwest Airlines Co.",2013-01-01,EWR,"Newark Liberty Intl",DEN,"Denver Intl",9
MQ,"Envoy Air",2013-01-01,LGA,"La Guardia",RDU,"Raleigh Durham Intl",28
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",FLL,"Fort Lauderdale Hollywood Intl",6
MQ,"Envoy Air",2013-01-01,LGA,"La Guardia",CLT,"Charlotte Douglas Intl",67
AA,"American Airlines Inc.",2013-01-01,LGA,"La Guardia",ORD,"Chicago Ohare Intl",4
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",SYR,"Syracuse Hancock Intl",20
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",BOS,"General Edward Lawrence Logan Intl",78
AA,"American Airlines Inc.",2013-01-01,LGA,"La Guardia",DFW,"Dallas Fort Worth Intl",72
AA,"American Airlines Inc.",2013-01-01,LGA,"La Guardia",MIA,"Miami Intl",28
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",MCO,"Orlando Intl",-23
DL,"Delta Air Lines Inc.",2013-01-01,JFK,"John F Kennedy Intl",FLL,"Fort Lauderdale Hollywood Intl",-35
DL,"Delta Air Lines Inc.",2013-01-01,LGA,"La Guardia",MSP,"Minneapolis St Paul Intl",-3
DL,"Delta Air Lines Inc.",2013-01-01,LGA,"La Guardia",DEN,"Denver Intl",18
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",PHX,"Phoenix Sky Harbor Intl",29
EV,"ExpressJet Airlines Inc.",2013-01-01,EWR,"Newark Liberty Intl",PIT,"Pittsburgh Intl",20
MQ,"Envoy Air",2013-01-01,LGA,"La Guardia",ATL,"Hartsfield Jackson Atlanta Intl",17
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",IAH,"George Bush Intercontinental",23
DL,"Delta Air Lines Inc.",2013-01-01,JFK,"John F Kennedy Intl",ATL,"Hartsfield Jackson Atlanta Intl",34
US,"US Airways Inc.",2013-01-01,JFK,"John F Kennedy Intl",PHX,"Phoenix Sky Harbor Intl",3
AA,"American Airlines Inc.",2013-01-01,JFK,"John F Kennedy Intl",SJU,NULL,4
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",LAX,"Los Angeles Intl",15
DL,"Delta Air Lines Inc.",2013-01-01,JFK,"John F Kennedy Intl",DTW,"Detroit Metro Wayne Co",2
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",TPA,"Tampa Intl",80
VX,"Virgin America",2013-01-01,JFK,"John F Kennedy Intl",SFO,"San Francisco Intl",-40
EV,"ExpressJet Airlines Inc.",2013-01-01,EWR,"Newark Liberty Intl",IAD,"Washington Dulles Intl",59
DL,"Delta Air Lines Inc.",2013-01-01,JFK,"John F Kennedy Intl",DEN,"Denver Intl",-16
EV,"ExpressJet Airlines Inc.",2013-01-01,EWR,"Newark Liberty Intl",CVG,"Cincinnati Northern Kentucky Intl",67
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",PBI,"Palm Beach Intl",-30
EV,"ExpressJet Airlines Inc.",2013-01-01,EWR,"Newark Liberty Intl",DCA,"Ronald Reagan Washington Natl",13
US,"US Airways Inc.",2013-01-01,EWR,"Newark Liberty Intl",PHX,"Phoenix Sky Harbor Intl",-4
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",SAN,"San Diego Intl",-15
WN,"Southwest Airlines Co.",2013-01-01,LGA,"La Guardia",STL,"Lambert St Louis Intl",23
MQ,"Envoy Air",2013-01-01,EWR,"Newark Liberty Intl",ORD,"Chicago Ohare Intl",14
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",DEN,"Denver Intl",21
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",CLE,"Cleveland Hopkins Intl",20
B6,"JetBlue Airways",2013-01-01,EWR,"Newark Liberty Intl",BOS,"General Edward Lawrence Logan Intl",-8
9E,"Endeavor Air Inc.",2013-01-01,JFK,"John F Kennedy Intl",MSP,"Minneapolis St Paul Intl",39
EV,"ExpressJet Airlines Inc.",2013-01-01,EWR,"Newark Liberty Intl",MKE,"General Mitchell Intl",96
MQ,"Envoy Air",2013-01-01,LGA,"La Guardia",DTW,"Detroit Metro Wayne Co",9
AA,"American Airlines Inc.",2013-01-01,JFK,"John F Kennedy Intl",BOS,"General Edward Lawrence Logan Intl",-34
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",RSW,"Southwest Florida Intl",25
EV,"ExpressJet Airlines Inc.",2013-01-01,EWR,"Newark Liberty Intl",GSO,"Piedmont Triad",16
EV,"ExpressJet Airlines Inc.",2013-01-01,EWR,"Newark Liberty Intl",ATL,"Hartsfield Jackson Atlanta Intl",26
B6,"JetBlue Airways",2013-01-01,LGA,"La Guardia",TPA,"Tampa Intl",56
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",SAN,"San Diego Intl",-4
AA,"American Airlines Inc.",2013-01-01,LGA,"La Guardia",DFW,"Dallas Fort Worth Intl",35
DL,"Delta Air Lines Inc.",2013-01-01,LGA,"La Guardia",FLL,"Fort Lauderdale Hollywood Intl",-13
EV,"ExpressJet Airlines Inc.",2013-01-01,EWR,"Newark Liberty Intl",MHT,"Manchester Regional Airport",-1
DL,"Delta Air Lines Inc.",2013-01-01,JFK,"John F Kennedy Intl",AUS,"Austin Bergstrom Intl",-14
EV,"ExpressJet Airlines Inc.",2013-01-01,EWR,"Newark Liberty Intl",ALB,"Albany Intl",40
AA,"American Airlines Inc.",2013-01-01,JFK,"John F Kennedy Intl",EGE,"Eagle Co Rgnl",3
DL,"Delta Air Lines Inc.",2013-01-01,JFK,"John F Kennedy Intl",SFO,"San Francisco Intl",-22
VX,"Virgin America",2013-01-01,JFK,"John F Kennedy Intl",LAX,"Los Angeles Intl",-5
AA,"American Airlines Inc.",2013-01-01,JFK,"John F Kennedy Intl",LAS,"Mc Carran Intl",-14
WN,"Southwest Airlines Co.",2013-01-01,EWR,"Newark Liberty Intl",STL,"Lambert St Louis Intl",41
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",MCO,"Orlando Intl",22
MQ,"Envoy Air",2013-01-01,JFK,"John F Kennedy Intl",ORF,"Norfolk Intl",-32
AA,"American Airlines Inc.",2013-01-01,JFK,"John F Kennedy Intl",AUS,"Austin Bergstrom Intl",11
UA,"United Air Lines Inc.",2013-01-01,LGA,"La Guardia",ORD,"Chicago Ohare Intl",16
UA,"United Air Lines Inc.",2013-01-01,LGA,"La Guardia",IAH,"George Bush Intercontinental",16
AA,"American Airlines Inc.",2013-01-01,EWR,"Newark Liberty Intl",DFW,"Dallas Fort Worth Intl",44
US,"US Airways Inc.",2013-01-01,LGA,"La Guardia",CLT,"Charlotte Douglas Intl",9
DL,"Delta Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",ATL,"Hartsfield Jackson Atlanta Intl",-12
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",LAX,"Los Angeles Intl",6
WN,"Southwest Airlines Co.",2013-01-01,EWR,"Newark Liberty Intl",HOU,"William P Hobby",32
EV,"ExpressJet Airlines Inc.",2013-01-01,EWR,"Newark Liberty Intl",BTV,"Burlington Intl",14
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",CLT,"Charlotte Douglas Intl",33
B6,"JetBlue Airways",2013-01-01,LGA,"La Guardia",PBI,"Palm Beach Intl",68
UA,"United Air Lines Inc.",2013-01-01,LGA,"La Guardia",DEN,"Denver Intl",-19
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",SAT,"San Antonio Intl",6
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",FLL,"Fort Lauderdale Hollywood Intl",-8
AA,"American Airlines Inc.",2013-01-01,JFK,"John F Kennedy Intl",ORD,"Chicago Ohare Intl",0
F9,"Frontier Airlines Inc.",2013-01-01,LGA,"La Guardia",DEN,"Denver Intl",-6
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",SJU,NULL,61
UA,"United Air Lines Inc.",2013-01-01,EWR,"Newark Liberty Intl",ORD,"Chicago Ohare Intl",16
AA,"American Airlines Inc.",2013-01-01,LGA,"La Guardia",ORD,"Chicago Ohare Intl",10
B6,"JetBlue Airways",2013-01-01,JFK,"John F Kennedy Intl",SJU,NULL,-7
MQ,"Envoy Air",2013-01-01,LGA,"La Guardia",RDU,"Raleigh Durham Intl",3
DL,"Delta Air Lines Inc.",2013-01-01,JFK,"John F Kennedy Intl",LAX,"Los Angeles Intl",16
